,Headline,Description,Category,polarity,subjectivity
244,"Berlin Conference: Dhaka for climate justice, compensation",State Minister for Foreign Affairs Md Shahriar Alam has asked for climate justice that needs to be established and demanded compensation and adequate financial and other assistance for adaptation measures.,Environment,Positive,0.20833333333333331
245,"Summit, JERA Asia ink deal for Matarbari energy project",Bangladesh and Japan sign a deal which will initiate a large energy infrastructure project in Matarbari area of Cox's Bazar.,Bangladesh,Positive,0.42857142857142855
246,Bangladesh gives £66k for monument in UK,"Bangladesh has donated nearly £66,000 for construction of a monument in honour of language veterans at Cardiff in United Kingdom.",Bangladesh,Positive,0.4
247,"Sheikh Selim's son-in-law hurt, grandson missing after SL blasts: Hasina","The son-in-law of Awami League leader Sheikh Selim was injured in Sunday's explosions in Sri Lanka and his grandson has remained missing, Prime Minister Sheikh Hasina says.",Politics,Negative,0.05
248,Bangladesh wins best award in Intl trade fair in Nigeria,"Bangladesh High Commission receives Best Foreign Participant Award at Kaduna International Trade Fair in Abuja, Nigeria.",Bangladesh,Positive,0.37299999999999994
249,Malaysian Rohingya activist nominated for US award,"Sharifah Shakirah, who helps improve the lives of Rohingya women in Malaysia, has been nominated as Malaysia's candidate for the US Department of State's International Women of Courage award.",Rohingya Crisis,Neutral,0.0
250,Quader will return home in two weeks: Hanif,Ruling Awami League casts a bright light on the condition of its General Secretary Obaidul Quader and says he will return home in a week or two.,Politics,Positive,0.6666666666666666
251,Angelina Jolie visits refugee camp,UNHCR special envoy and US film star Angelina Jolie has been visiting Rohingya refugee camps in Teknaf upazila of Cox's Bazar.,Rohingya Crisis,Positive,0.5714285714285714
252,Bangladesh 2nd largest economy in South Asia,"Bangladesh has been ranked 41st among the largest economies in the world in 2019, up from the 43rd position since last year, according to an analysis by a UK based think tank.",Front Page,Neutral,0.06666666666666667
253,People should stand against violence: Fakhrul,BNP Secretary General Mirza Fakhrul Islam Alamgir calls upon the people of the country to stand against the violence spree centering the December 30 election.,JS Polls 2018,Positive,0.5
254,EU polls experts arrive tomorrow,A two-member high-power European Union (EU) election expert mission will arrive in Dhaka to monitor the upcoming general elections.,Politics,Positive,0.25
255,"'Can't eat, can't sleep': Rohingya on Myanmar repatriation list","For Nurul Amin, a Rohingya Muslim living in a refugee camp in Bangladesh, the days since learning he and his family were among a group of people set to potentially be repatriated to Myanmar have been among the most frightening since they fled their home.",Rohingya Crisis,Neutral,0.8333333333333334
256,Should do more to fight Myanmar violence: Facebook,Facebook Inc says a human rights report it commissioned on its presence in Myanmar showed it has not done enough to prevent its social network from being used to incite violence.,Rohingya Crisis,Positive,0.2222222222222222
257,'Insurance gap' poses threats to poor nations,"Disaster-prone developing nations, including Bangladesh and Indonesia, are exposed to crippling losses when storms, floods or earthquakes strike because they suffer from a dangerous lack of insurance, industry experts said yesterday.",Back Page,Negative,0.9
258,Tasneem made Bangladesh High Commissioner to the UK,"The Government decides to appoint Saida Muna Tasneem, currently serving as the Ambassador of Bangladesh to the Kingdom of Thailand, as the new High Commissioner of Bangladesh to the United Kingdom.",Bangladesh,Positive,0.46484848484848484
259,Global community expects Hasina to win next election,Heads of state and different international agencies hoped that Prime Minister Sheikh Hasina would form the government again winning the next general election for the continuity of development and democracy.,Back Page,Positive,0.37
260,Tool ripe for abuse: HRW,"The Digital Security Act, which replaces the much-criticised Information and Communication Technology Act, retains the most problematic provisions of the ICT law and adds more provisions criminalising peaceful speech, Human Rights Watch said yesterday.",Politics,Positive,0.32
261,UN has 'no right to interfere',"Myanmar's powerful army chief says the United Nations has no right to interfere in his country's sovereignty, a week after UN investigators called for him and other top generals to be prosecuted for ""genocide"" against the Rohingya.",Rohingya Crisis,Positive,0.6026785714285714
262,66% support Sheikh Hasina,"Around 66 percent of the respondents support Prime Minister Sheikh Hasina as the PM, according to a survey by the International Republican Institute (IRI).",Back Page,Neutral,0.0
263,Outrage as 2 Reuters journos jailed for 7 yrs,"Two Reuters journalists accused of breaching Myanmar's state secrets law while reporting on a massacre of Rohingya Muslims were jailed for seven years yesterday, fuelling international outrage a week after the army was accused of genocide.",Rohingya Crisis,Neutral,0.0
264,Joy justifies Shahidul's arrest,Prime Minister Sheikh Hasina's ICT Affairs Adviser and son Sajeeb Wazed Joy calls “appropriate” photographer Shahidul Alam's arrest saying he spread rumours instigating violence during the last month's student protests demanding road safety.,Politics,Positive,0.19166666666666665
265,"Road Safety Movement: Halt 'arbitrary arrests', try attackers","Human Rights Watch yesterday urged the Bangladesh government to halt “arbitrary arrests, prosecute those involved in violent attacks, and immediately and unconditionally release people it has thrown in jail just for speaking out”.",Back Page,Negative,0.425
266,Bus drivers say accidents not entirely their fault,"Drivers, mostly overworked and underpaid, are often blamed for Bangladesh's high traffic casualty rate - road accidents kill or injure at least five people an hour in the country - and the resentment against them has been aggravated by the deaths of the two students last Friday.",Country,Positive,0.37666666666666665
267,Indian Home Minister Rajnath Singh arrives,Indian Minister of Home Affairs Rajnath Singh arrives in Dhaka on a three-day official visit.,Bangladesh,Neutral,0.0
268,Dhaka-Kuala Lumpur to sign MoU on defense training,Bangladesh and Malaysia prepare to sign a Memorandum of Understanding (MoU) on defense training and technical cooperation.,Bangladesh,Neutral,0.1
269,'Law enforcers don't kill willingly in anti-narcotic drives',Home Minister Asaduzzaman Khan Kamal in the parliament says law enforcement agencies don't kill anyone willingly in anti-narcotics drives.,Politics,Positive,0.75
270,OHCHR urges govt to deal with extrajudicial actions by security forces,UN High Commissioner for Human Rights Zeid Ra'ad Al Hussein urges for greater engagement from Bangladesh with respect to human rights.,Country,Positive,0.31
271,Extradite Noor Chowdhury from Canada: PM,"Prime Minister Sheikh Hasina reiterates her request for deportation of Nur Chowdhury, one of Bangabandhu's convicted killers, as she holds a meeting with her Canadian counterpart Justine Trudeau in Quebec.",Politics,Neutral,0.0
272,Hasina receives DLitt degree at Kazi Nazrul University,"Prime Minister Sheikh Hasina receives 'Doctor of Literature (DLitt)' degree from Kazi Nazrul University, Asansol in Paschim Bardhaman district in West Bengal.",Politics,Neutral,0.0
273,"Oldest leaders: Hasina 4th in Asia, Mahathir top in world","Bangladesh Prime Minister Sheikh Hasina, 70, has been ranked the fourth senior head of state based on age in Asia while Malaysian leader Mahathir Mohamad is the world's oldest.",Politics,Neutral,0.0
274,Bangabandhu-1 on its way to orbit,"The nation's dream satellite, Bangabandhu-1, is now on its way to orbit after its perfect and successful launching, making Bangladesh's debut in the global space society.",Science,Positive,0.65
275,US invites visitors for Bangabandhu-1 launch,"Kennedy Space Centre has invited visitors to witness the launching of Bangabandhu-1, Bangladesh's first commercial satellite, at its visitor complex tomorrow.",Science,Negative,0.24444444444444446
276,Testing of Bangabandhu Satellite-1 done: BTRC chief,"The testing of Bangladesh's first satellite, Bangabandhu-1 has been completed, Chairman of Bangladesh Telecommunication Regulatory Commission Dr Shahjahan Mahmood says.",Country,Positive,0.3333333333333333
277,Stand beside forcibly displaced Rohingyas: PM to OIC,Prime Minister Sheikh Hasina appeals to the Muslim countries under the Organisation of Islamic Cooperation (OIC) to firmly stand beside the forcibly deported Rohingyas to protect their dignity and security as there is no scope for the organisation to overlook this crisis.,Rohingya Crisis,Positive,0.7
278,"'Dhaka-Delhi fraternal ties enriched by shared art, culture'","A symbolic Mongol Shubhajatra and a mesmerising display of dance and music marked the celebration of Pahela Baishakh, Bangla New Year's Day, by Bangladesh High Commission in New Delhi.",Politics,Positive,0.5122727272727272
279,"Bangladesh, India sign 6 MoUs",Bangladesh and India have signed six memoranda of understanding (MoU) during a bilateral meeting between the foreign secretaries of Bangladesh and India at State Guesthouse Padma in Dhaka.,Politics,Negative,0.125
280,Friends of freedom: Michael Barnes funeral held in UK,"The funeral ceremony of Michael Barnes who is best known for his contribution and support to Liberation War in 1971, was held in West London on Thursday.",Bangladesh,Positive,0.3
281,US-Bangla plane crash: Experts to decide where black box will be decoded,"A joint-team of experts will decide the place where the black box of the crashed US-Bangla aircraft will be decoded, the chief of Nepalese investigation team says.",World,Negative,0.43333333333333335
282,Suu Kyi's lost honours,"Since the beginning of ongoing Rohingya crisis, the world's biggest humanitarian catastrophe, many international organisations withdrew or suspended awards and titles they gave to Myanmar leader Aung San Suu Kyi for her contribution and struggle in democracy.",Rohingya Crisis,Positive,0.25
283,"UN hopes for free, fair polls in Bangladesh","United Nations secretary general's office has expressed its hope that “a climate could be created where free and fair elections could take place,” in Bangladesh.",Bangladesh,Positive,0.7333333333333334
284,2 ethnic groups sign up to Myanmar's 'broken' peace process,Two armed ethnic groups will sign on to a ceasefire in Myanmar in a ceremony the government hopes will showcase a significant victory for a peace process derided as “broken” by critics.,Rohingya Crisis,Negative,0.6375
285,Tarique behind Bangladesh mission office attack: Obaidul,"The road, transport and bridges minister claims that BNP senior vice chairman Tarique Rahman, who is now in England, was involved in Wednesday's attack on Bangladesh High Commission office in London.",Politics,Positive,0.5399999999999999
286,"'Rohingyas want security, rights ensured before return'","Rohingyas who fled from the persecution of Myanmar security forces want to see a positive development including citizenship, security, and scope for enjoying their basic rights before they return to their country from Bangladesh, the UNHCR says.",Rohingya Crisis,Positive,0.4234848484848485
287,Rohingya repatriation: Dhaka hopeful for new beginning with Myanmar,Foreign Minister AH Mahmood Ali hopes there will be a new beginning with Myanmar through Rohingya repatriation.,Rohingya Crisis,Positive,0.2897727272727273
288,PM pays homage to Bangabandhu on Homecoming Day,Prime Minister Sheikh Hasina today paid rich tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman on the occasion of the Homecoming Day of the great leader.,Politics,Positive,0.75
289,Bangladesh took little steps to prosecute killings by security forces: US,"The government of Bangladesh took limited measures to investigate and prosecute cases of abuse and killing by security forces in 2017, says a US report on Human Rights Practices.",Politics,Negative,0.12142857142857143
290,"Bangladesh, Singapore sign two MoUs",Bangladesh and Singapore sign two Memorandums of Understanding (MoUs) for collaboration over Public Private Partnership (PPP) and air services.,Politics,Neutral,0.22083333333333333
291,Sri Lanka war crimes: Momen clears govt stance over UN resolution,"Foreign Minister AK Abdul Momen has justified Bangladesh's vote against a UN resolution, seeking collection and preservation of evidence of war crimes committed by Sri Lanka's armed forces and the LTTE.",Bangladesh,Positive,0.5125
292,Md Moinuddin Abdullah made new ACC chairman,Former Senior Secretary of Agriculture Ministry Md Moinuddin Abdullah has been appointed as chairman of the Anti-Corruption Commission (ACC).,Bangladesh,Neutral,0.0
293,Mushtaq's death in custody: 51 eminent citizens issue statement demanding judicial probe,Fifty-one eminent citizens today demanded a judicial probe into writer Mushtaq Ahmed's death in custody. They have also asked for the probe report to be made public.,Bangladesh,Neutral,0.06666666666666667
294,RU teachers demand justice for writer Mushtaq's death,"Protesting the death of writer Mushtaq Ahmed in police custody who was arrested under the Digital Security Act, teachers and students of Rajshahi University (RU) demanded justice over the death.",Bangladesh,Neutral,0.0
295,Indian Air Chief calls for mutual cooperation,"Indian Air Chief Marshal Rakesh Kumar Singh Bhadauria, CAS, IAF, today called on Bangladesh Air Chief Marshal Masihuzzaman Serniabat and other senior officers to discuss matters of mutual cooperation.",Bangladesh,Negative,0.375
296,Bangladesh Police force to get two state-of-art choppers,"Two state-of-the-art helicopters are being added to the Bangladesh Police for further enhancement of the force's efficiency and capability to provide service to the people, police said.",Bangladesh,Neutral,0.5
297,PM's virtual press conference tomorrow,Prime Minister Sheikh Hasina will address a virtual press conference tomorrow afternoon marking the United Nations' final recommendation for the graduation of Bangladesh from the group of the least developed countries (LDCs).,Bangladesh,Negative,0.5666666666666667
298,"Lalmonirhat madrasa principal arrested under DSA for distorting picture of PM Hasina, Modi",Detectives in Lalmonirhat today arrested the principal of a madrasa under the Digital Security Act (DSA) for allegedly distorting a picture of Prime Minister Sheikh Hasina and Indian Prime Minister Narendra Modi on Facebook.,Crime,Negative,0.05
299,"60, including 2 Star photojournalists, injured as protesters clash with police in Baitul Mukarram area","At least 60 people, including two photojournalists of The Daily Star, were injured in a clash between police and demonstrators who tried to bring out a procession after Jummah prayer at Dhaka's Baitul Mukarram National Mosque area today.",Bangladesh,Negative,0.2
300,No reason for concern over security during Indian PM Modi's visit: Foreign minister,"There is no reason for concern over security ahead of the visit of Indian Prime Minister Narendra Modi, Foreign Minister AK Abdul Momen said today.",Bangladesh,Negative,0.125
301,PM leaves New York for home,Prime Minister Sheikh Hasina leaves New York for home wrapping up her eight-day visit to the USA when she joined the 74th session of the United Nations General Assembly (UNGA).,Country,Positive,0.4772727272727273
302,Four dead after Hefazat-police clash in Hathazari,Four people died and at least seven were injured after a clash between Hefazat-e-Islam activists and police during a demonstration this afternoon.,Bangladesh,Negative,0.4
303,Four dead after Hefazat-police clash in Hathazari,Four people died and at least seven were injured after a clash between Hefazat-e-Islam activists and police during a demonstration this afternoon.,Bangladesh,Negative,0.4
304,"Amid Modi visit, Facebook says services restricted in Bangladesh","Social network Facebook and its messaging app have been down in Bangladesh since Friday, the US tech giant said today, as protesters oppose Indian Prime Minister Narendra Modi's two day visit to the country.",Bangladesh,Negative,0.4518518518518519
305,Fauzia Moslem new president of Bangladesh Mahila Parishad,"Bangladesh Mahila Parishad's Central Committee has elected Dr Fauzia Moslem as its new president, said a press release, signed by Maleka Banu, general secretary of the organisation.",Bangladesh,Positive,0.40151515151515155
306,Nirapad Sarak Chai protests Shajahan Khan's remarks on Ilias Kanchan,Nirapad Sarak Chai today protested and condemned the alleged threat of boycotting its chairman Ilias Kanchan that transport leader and lawmaker Shajahan Khan made yesterday.,Bangladesh,Negative,0.1
307,US-Bangla plane crash: Nepal endorses condolence motion,"Four days after the US-Bangla aircraft crash, the House of Representatives in Nepal endorses a condolence motion in remembrance of the deceased.",Politics,Neutral,0.0
